Partei: Nr.;Partei: Kurzbezeichnung;Partei: Name;These: Nr.;These: Titel;These: These;Position: Position;Position: Begründung
7;SSW;Südschleswigscher Wählerverband;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme nicht zu;Wir setzen uns für mehr Bürgerbeteiligung in der Politik ein. Darum wollen wir Bürgerräte als beratende Organe aus der Mitte der Gesellschaft weiter unterstützen, um die demokratische Teilhabe zu stärken. Klar ist: Bürgerbeteiligung darf nur eine sinnvolle Ergänzung zu unserer repräsentativen Demokratie sein.
8;FREIE WÄHLER;FREIE WÄHLER;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Wir wollen die Bürger stärker in politische Entscheidungen einbeziehen. Direkte Demokratie und Bürgerbeteiligung sollen ausgeweitet werden, damit die Menschen nicht nur alle vier Jahre wählen, sondern auch zwischen den Wahlen an wichtigen Entscheidungen teilhaben können.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Wir fordern die Einführung von Volksentscheiden auf Bundesebene, um direkte demokratische Mitbestimmung zu stärken und das Vertrauen in politische Entscheidungen zu fördern. Mehr direkte Einbindung der Bürger:innen erhöht Verantwortungsbewusstsein und Informiertheit, die für fundierte Entscheidungen essenziell sind. Direkte Demokratie stärkt die Beteiligung der Gesellschaft und sorgt für eine Politik, die sich an den Bedürfnissen der Bevölkerung orientiert.
10;dieBasis;Basisdemokratische Partei Deutschland;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Direkte Demokratie, Bürgerentscheide und Volksabstimmungen gehören zur DNA der Basis. Deshalb befürworten die Mitglieder jede Möglichkeit, die Menschen selbst mitbestimmen und entscheiden zu lassen. Die Partei dieBasis fordert zudem, die Bürgerinitiative durch ein Initiativrecht aufzuwerten und die unverhältnismäßig hohen Quoren zu senken.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;"Ja. Diese sollen dann die wirklich wichtigen Fragen, wie ""Was gibt's heute zu Essen?"" und ""Wer bringt den Müll raus?"" behandeln."
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Wir von der Gerechtigkeitspartei befürworten direkte Demokratie, um die Bürger stärker an politischen Entscheidungen zu beteiligen. Diese Forderung ist ein Kernpunkt unseres Wahlprogramms, da wir davon überzeugt sind, dass eine stärkere Einbeziehung der Menschen in Entscheidungsprozesse zu mehr Transparenz, Verantwortung und Vertrauen in die Politik führt.
13;PIRATEN;Piratenpartei Deutschland;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Wir PIRATEN wollen die direkten und indirekten Mitbestimmungsmöglichkeiten eines jeden Einzelnen steigern. Die Bürgerinnen und Bürger sollen in Volksabstimmungen direkt über Gesetze entscheiden können und so Verantwortung übernehmen.
14;Volt;Volt Deutschland;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme nicht zu;Volts Lösung sind Bürger*innenschaftsräte, die die politische Teilhabe und Mitbestimmung sichern.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;"Die ÖDP ist die erfolgreichste Volksbegehrenspartei in Deutschland. So haben wir z.B. in Bayern das Volksbegehren Artenschutz ""Rettet die Bienen"" initiiert und gewonnen. Die ÖDP fordert die Einführung verbindlicher Volksbegehren und Volksentscheide auf Bundesebene. Wir brauchen mehr Mitbestimmung der Bürgerinnen und Bürger für eine lebendige und motivierende Demokratie in Deutschland auf allen politischen Ebenen. Mehr Mitbestimmung ist ein Instrument gegen Politikverdrossenheit und Extremismus."
16;Verjüngungsforschung;Partei für Verjüngungsforschung;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme nicht zu;Wir fordern deutlich mehr Beteiligungsmöglichkeiten, damit Bürger auch abseits von Wahlen aktiv die Politik mitgestalten zu können. Bei Sachfragen bergen Volksabstimmungen jedoch die Gefahr, dass Entscheidungen emotionalisiert getroffen werden. Bürgerinitiativen und Petitionen können allerdings bei Werteentscheidungen richtungsweisend sein – wir wollen diese daher stärken und modernisieren.
18;Bündnis C;Bündnis C - Christen für Deutschland;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;
19;BP;Bayernpartei;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme nicht zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Wir unterstützen Bürgerentscheide als ein demokratisches Entscheidungsinstrument. Doch Bürgerentscheide ändern prinzipiell nichts an dem Klassencharakter dieser Gesellschaft in der Form einer Diktatur der Monopole.
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;neutral;Volksentscheide erfordern eine gut aufgeklärte und kritische Bevölkerung. Die Massenmedien haben einen großen Anteil an der politischen Willensbildung. Der zwangsfinanzierte öffentlich-rechtliche Rundfunk kommt dieser Aufgabe zunehmend nicht nach. MENSCHLICHE WELT unterstützt bundesweite Volksentscheide unter der Bedingung einer grundlegenden Reform des öffentlichen Rundfunks.
22;PdF;Partei des Fortschritts;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Volksentscheide auf Bundesebene sollen gezielt ermöglicht werden, basierend auf fundierten Empfehlungen von Bürgerräten. Diese sichern, dass nur zu ausgewählten, gut vorbereiteten Themen Volksentscheide stattfinden, die auf repräsentativer Beratung und breiter Information beruhen. Dies stärkt die Demokratie ohne Entscheidungsprozesse zu überfrachten. Die öffentliche Kontrolle und Medienpräsenz der Umsetzung garantiert, dass der Bürgerwille während der Wahlperiode umgesetzt wird.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Solange die Gesellschaft von der Profitgier einer Schicht von Superreichen bestimmt wird, kann es keine Demokratie geben. Über die zentralen Fragen wird nicht im Parlament, sondern in den Konzernzentralen entschieden. Die großen Banken und Konzerne müssen enteignet und unter die demokratische Kontrolle der arbeitenden Bevölkerung gestellt werden. Nur das Eingreifen von Millionen ins politische Geschehen kann den Kriegstreibern und den sozialen Angriffen Einhalt gebieten.
24;BüSo;Bürgerrechtsbewegung Solidarität;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Aber nur bei wichtigen strategischen Richtungsentscheiden (wie bei der Euro-Einführung). Die Bevölkerung sollte über die geplante Stationierung von neuen amerikanischen Mittelstreckenraketen in Deutschland abstimmen können, da diese unsere Sicherheit direkt gefährden.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;"BÜNDNIS DEUTSCHLAND setzt sich für mehr Bürgerbeteiligung und direkte Demokratie in Deutschland ein. Art. 20 Abs. 2 des Grundgesetzes hält unmissverständlich fest: „Alle Staatsgewalt geht vom Volke aus..."". Es ist an der Zeit, diesen Fortschritt auch auf politischer Ebene zu verankern. Eine Verfassungsreform, die den Bürgern mehr Mitbestimmungsmöglichkeiten eröffnet, ist notwendig."
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Politikverdrossenheit und der Vertrauensverlust in demokratische Institutionen sind Symptome des Qualitätsverlusts des öffentlichen politischen Diskurses. Das Konzept der deliberativen Demokratie wirkt der Demokratiekrise entgegen. Bürgerentscheide sollen deshalb durch zufällig ausgeloste Bürger:innenversammlungen vorbereitet werden, die die Bevölkerung direkt in die politischen Prozesse einbinden und als Korrektiv der Entscheidungen der gewählten Vertreter:innen fungieren.
28;WerteUnion;WerteUnion;32;Volksentscheide;In Deutschland soll es auf Bundesebene Volksentscheide geben können.;stimme zu;Volksabstimmungen sind ein wichtiges Korrektiv gegenüber einem Parlamentarismus, der sich vom Willen der Wähler entfernt hat. Das GG sieht in Art.20 Abs 2 ausdrücklich Volksabstimmungen vor. Sie müssen auch auf Bundesebene eingeführt werden.
1;SPD;Sozialdemokratische Partei Deutschlands;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Kinder unter 14 Jahren besitzen grundsätzlich noch nicht die nötige Reife, die Folgen ihres Handelns voll zu erkennen und zu steuern. Statt härterer Strafen setzen wir auf Prävention, Jugendhilfe und Sozialarbeit. Auch nicht strafmündige Täter bleiben nicht ohne Konsequenzen: Erziehungshilfen, intensive Betreuung und sozialpädagogische Maßnahmen greifen, um Fehlverhalten zu korrigieren und die Kinder auf den richtigen Weg zu bringen.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme zu;Wir halten es für fragwürdig, ob die Strafmündigkeitsgrenze dem heutigen Reifegrad von Kindern noch entspricht. Deshalb wollen wir durch eine wissenschaftliche Untersuchung prüfen lassen, ob die Altersgrenze noch angemessen ist und sie gegebenenfalls anpassen. Aus Respekt vor den Opfern gilt es aber, Gerichtsverfahren zu etablieren, die die Straftaten unter Anwesenheit der erziehungsberechtigten Eltern und der Kinder von Staatsanwaltschaft und Jugendgericht aufarbeiten.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Junges Alter ist schon jetzt kein Freifahrtschein für Kriminalität. Bei Kindern entscheiden Jugendamt und Familiengericht über die Konsequenzen der Tat. Sie können die Entziehung des Sorgerechts oder eine Unterbringung in einem Heim oder einem psychiatrischen Krankenhaus anordnen. Das ist besser geeignet als das Strafrecht, denn Kinder können die Bedeutung und die Folgen ihrer Taten nicht so sicher einschätzen wie Jugendliche oder Erwachsene.
4;FDP;Freie Demokratische Partei;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Das Strafrecht ist das schärfste Schwert des Rechtsstaats. Gerade Kindern und Jugendlichen ist mit diesem Instrument nicht geholfen, wenn sie zu Tätern werden. Die Betreuungs- und Therapiekapazitäten müssen ausgebaut werden, um junge Menschen davon abzuhalten, weitere Straftaten zu begehen.
5;AfD;Alternative für Deutschland;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme zu;Die AfD setzt sich für eine Herabsetzung der Strafbarkeitsgrenze ein, und zwar auf die Vollendung des 12. Lebensjahres. Gerade im Bereich der Gewalt-, Vermögens- und auch Sexualdelikte ist zu beobachten, dass „kriminelle Karrieren“ immer früher beginnen, die Täter ihre erste kriminelle Tat in einem immer jüngeren Alter begehen. Dies sind keine Vermutungen, sondern Ergebnisse empirischer Untersuchungen. Dem stehen Polizei und Staatsanwaltschaft bislang machtlos gegenüber.
6;Die Linke;Die Linke;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Im Umgang mit Kindern hat Strafrecht nichts verloren. Hier muss es um Hilfen zur Erziehung gehen und um Gespräche mit den Eltern. Das Jugendamt kann Konsequenzen bei der Unterbringung anordnen oder beantragen, das Sorgerecht zu verändern. Die Kinder brauchen vor allem Hilfe und Unterstützung.
7;SSW;Südschleswigscher Wählerverband;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Gewalttätige, aggressive Kinder mit schwierigem Sozialverhalten sind keine Kinder, die man sanktionieren muss, sondern Kinder in höchster Not. Für den SSW ist darum klar: Wir wollen mehr präventive Maßnahmen, um durch frühe Hilfen ein gesundes Umfeld für resiliente Kinder zu schaffen. Ziel muss es sein, dass Kinder und Jugendliche gar nicht erst zu Tätern werden. Wir müssen Frust und Armut von Kindern und Jugendlichen mit umfassenden Unterstützungsangeboten entgegnen.
8;FREIE WÄHLER;FREIE WÄHLER;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme zu;Die Strafmündigkeit ist, um die Strafverfolgung zu ermöglichen, auf unter 14 Jahre abzusenken. Dies soll nach Individualprüfung durch einen gerichtlich bestellten Sachverständigen richterlich geschehen und nur für den Fall, dass das Kind in diesem Alter ein schweres Vergehen oder Verbrechen begangen hat. Das Jugendstrafvollzugsrecht ist um jene Maßnahmen zu ergänzen, die für diese Altersgruppe sinnvoll sind.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Wir lehnen dies ab, da Kinder unter 14 Jahren noch in ihrer Entwicklung stehen und für ihr Handeln nicht die gleiche Verantwortung tragen können wie Erwachsene. Statt Strafen fordern wir verstärkte Präventionsarbeit, Erziehungshilfen und sozialpädagogische Maßnahmen, um Fehlverhalten frühzeitig zu begegnen. Strafrechtliche Maßnahmen bei Kindern setzen falsche Signale und lösen keine gesellschaftlichen Probleme.
10;dieBasis;Basisdemokratische Partei Deutschland;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme zu;Schwere Gewaltstraftaten sind bei Kindern unter 14 Jahren überproportional gestiegen. Knappe 51 % der befragten Mitglieder haben trotz rechtlicher, ethischer, pädagogischer und entwicklungspsychologischer Bedenken für strafrechtliche Konsequenzen gestimmt. Der Schutz von Opfern und der Gesellschaft vor schweren Straftaten, das Schließen von Lücken im Strafrecht sowie das Gerechtigkeitsempfinden waren hier ausschlaggebend.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Holt die Kinder von der Straße, lasst sie arbeiten.
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Wir als Gerechtigkeitspartei setzen auf Prävention und Bildung, anstatt auf strafrechtliche Maßnahmen für Kinder. Für uns steht der Schutz von Kindern an erster Stelle. Wir glauben an die Kraft der frühen Förderung und an eine Gesellschaft, die Kinder schützt und unterstützt, anstatt sie zu strafen. Unser Ziel ist es, jedem Kind die besten Chancen zu bieten und somit eine sichere Zukunft für alle zu schaffen.
13;PIRATEN;Piratenpartei Deutschland;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Das Gehirn von Kindern und Jugendlichen ist wissenschaftlich gesehen eine Baustelle. Sie sind in dem Alter noch nicht strafmündig.
14;Volt;Volt Deutschland;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Volts Lösungen setzen auf Prävention und mehr Hilfe für Minderjährige.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;neutral;Die derzeitigen gesetzlichen Regelungen reichen nicht mehr aus (z.B. Problem der Clankriminalität). Wir brauchen eine differenziertere Einzelfallbetrachtung. Handelt es sich um schwere Verbrechen, z.B. Mord, muss der Jugendschutz aufgehoben werden können. Beispielsweise beim Ladendiebstahl ist eine Verschärfung der Gesetze wiederum nicht nötig. Der Erziehungs- und Rehabilitationsgedanke muss im Vordergrund stehen.
16;Verjüngungsforschung;Partei für Verjüngungsforschung;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Das Strafrecht ist das schärfste Schwert des Rechtsstaats. Es soll mündige und einsichtsfähige Bürger durch Sanktionierung von kriminellem Verhalten in die Gesellschaft zurückführen oder weitere Straftaten verhindern. Grundlage für eine Verurteilung ist die Schuldfähigkeit. Da diese bei Kindern nicht angenommen werden kann, ist eine Bestrafung von Kindern nicht angemessen. Kinder brauchen stattdessen Zuwendung und Unterstützung durch kompetente und arbeitsfähige Jugendämter.
18;Bündnis C;Bündnis C - Christen für Deutschland;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme zu;
19;BP;Bayernpartei;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Wenn Menschen unter 14 Jahren kriminell werden, brauchen sie vor allem Hilfe, Erziehung und Zukunftsperspektive. Die MLPD verwirklicht mit ihrer Kinder- und Jugendarbeit eine Erziehung von Heranwachsenden zu selbstständig denkenden und handelnden Menschen, die Solidarität, Mut und Respekt lernen.
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Die geistigen Kapazitäten von unter 14-Jährigen sind oft noch nicht voll entwickelt. Dennoch gibt es große Unterschiede zwischen 8-Jährigen und 13-Jährigen. Besonders die absichtliche Ausnutzung der Straffreiheit, sollte strenge Folgen haben. Diese Folgen sollten hauptsächlich dazu dienen, das Verhalten des Bestraften zu verbessern.
22;PdF;Partei des Fortschritts;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme zu;Die Herabsetzung des Strafmündigkeitsalters auf unter 14 Jahre ermöglicht eine gezielte und altersgerechte Reaktion auf Jugendkriminalität. Dabei greift das Jugendstrafrecht, das den Fokus auf Erziehung und Prävention legt, ohne junge Straftäter gleich zu kriminalisieren. Dies schafft Gerechtigkeit und stärkt die gesellschaftliche Verantwortung.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Die herrschende Klasse kennt auf die Probleme angesichts der wachsenden Verarmung und Ausgrenzung nur noch eine Antwort: Polizeistaats- und Repressionsmaßnahmen. Minderjährige brauchen soziale Sicherheit, eine gute Bildung und eine Zukunftsperspektive und keine Strafverfolgung.
24;BüSo;Bürgerrechtsbewegung Solidarität;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme zu;Die Kriminalität bei unter 14-Jährigen nimmt seit Jahren zu, bedingt durch die Migration als auch das Wissen um die Straffreiheit. Wir fordern, dass auch diese zukünftig als eingeschränkt strafmündig betrachtet werden, um präventiv gegen zukünftige Straftaten vorgehen zu können und um ein Signal zu senden, dass kriminelles Verhalten unabhängig vom Alter Konsequenzen hat.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;Kinder müssen erst lernen, was richtig und falsch ist. Meist können sie die Folgen ihres Handelns nicht einschätzen. Sie benötigen bei begangenen Straftaten Hilfe statt Strafe. Strafrechtliche Konsequenzen wirken in jungen Jahren kontraproduktiv.
28;WerteUnion;WerteUnion;33;Strafrecht für unter 14-Jährige;Unter 14-Jährige sollen strafrechtlich belangt werden können.;stimme nicht zu;"Zur Stärkung des Rechtsbewusstseins und zur Normverdeutlichung spricht sich die WerteUnion für schnellere Verfahren, Ausschöpfung des Strafrahmens und restriktive Anwendung des Jugendstrafrechts aus; ansonsten soll die Anwendung des Erwachsenenstrafrechts erfolgen. Wie bisher soll bei Anwendung des Jugendgerichtsgesetzes (JGG) eine Prüfung der strafrechtlichen Verantwortlichkeit möglich sein (§ 3 JGG) und bei mangelnder Reife familiengerichtliche Maßnahmen."
1;SPD;Sozialdemokratische Partei Deutschlands;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;neutral;Die übermäßige Subventionierung in verschiedenen Branchen durch China gefährdet faire Wettbewerbsbedingungen. Deshalb ist es grundsätzlich richtig, dass die EU-Kommission dagegen vorgeht. Gleichzeitig schaden die aktuellen Zölle der deutschen Automobilwirtschaft und gefährden Arbeitsplätze hierzulande. Auf Druck der Bundesregierung verhandelt die EU-Kommission daher mit der chinesischen Regierung, um eine Alternative zu den zunächst eingeführten Zöllen zu finden.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;neutral;Wir sind für einen fairen internationalen Freihandel nach gemeinsamen Spielregeln, an die sich alle halten. Grundsätzlich sind Zölle nicht der richtige Weg, weil sie den Freihandel behindern und Waren für alle teurer machen. Wir wollen aber verhindern, dass Staaten außerhalb der EU den marktwirtschaftlichen Wettbewerb durch staatliche Subventionen aushebeln und sich so einen unfairen Wettbewerbsvorteil verschaffen.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;stimme zu;Chinas Subventions- und Wirtschaftspolitik führt zu unfairem Wettbewerb für unsere europäischen Unternehmen. Deshalb stärken wir der EU Kommission den Rücken in ihren Verhandlungen mit China, auch bei E-Autos. So wahren wir die Interessen der europäischen Wirtschaft. Zölle können dabei aber nur die letztmögliche Lösung sein. Außerdem arbeiten wir weiter daran, unsere Abhängigkeiten von China abzubauen.
4;FDP;Freie Demokratische Partei;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;stimme zu;Die neuen EU-Zölle treffen am stärksten die deutschen Autohersteller. Denn diese Unternehmen produzieren auch in China. Handelskonflikte führen zu Inflation und Knappheit, sie kennen keine Gewinner. Als Exportnation ist Deutschland auf offene Märkte angewiesen. Wir stehen deshalb für den Abbau von Handelsbarrieren, statt neue zu schaffen.
5;AfD;Alternative für Deutschland;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;stimme zu;Zölle zum Schutz der heimischen Wirtschaft führen mittelfristig zu einer Schwächung der geschützten Unternehmen, weil sich für sie der Anpassungsdruck an veränderte Marktbedingungen und damit ihre Wettbewerbsfähigkeit reduziert. Dies gilt auch für chinesische Importe, solange kein eindeutiger Verstoß gegen die internationale Wettbewerbsordnung vorliegt. Die Politik sollte stattdessen für gute Standortbedingungen sorgen, wie preiswerte Energie, geringe Bürokratie und intakte Infrastruktur.
6;Die Linke;Die Linke;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;stimme zu;Die Autoindustrie wird in China derzeit stark gefördert, was die Ausgestaltung von fairen Handelsbeziehungen schwieriger macht. Die Automobilindustrie in Deutschland hat den Umbau ihrer Flotten verschlafen. Die Zölle auf chinesische Elektroautos zu erhöhen schützt weder Arbeitsplätze noch helfen sie beim dringend benötigten Umbau der Automobilindustrie, dafür braucht es eine aktive Industriepolitik, bei der die Beschäftigten Mitsprache haben.
7;SSW;Südschleswigscher Wählerverband;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;stimme nicht zu;Wir sind ein exportorientiertes Land und profitieren stark von einer starken Europäischen Union. Darum muss klar sein: Wir müssen gemeinsam mit unseren europäischen Partner Lösungen finden, um im internationalen Wettbewerb mit Großmächten zu bestehen.
8;FREIE WÄHLER;FREIE WÄHLER;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;stimme nicht zu;Für Europa ist China ein wichtiger Handelspartner, zunehmend aber auch ein politischer und ökonomischer Rivale. Wir müssen uns davor schützen, sowohl beim Außenhandel wie auch bei den Lieferketten in zu große wirtschaftliche Abhängigkeiten zu geraten. Wir wollen unsere nationale Sicherheit und Schlüsseltechnologien besser vor chinesischer Einflussnahme schützen und verhindern, dass unsere hohen heimischen Standards durch Billigimporte unterlaufen werden.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;34;Abschaffung von Zöllen;Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.;neutral;EU-Zölle auf klimafreundliche Produkte sollten nicht willkürlich aufrechterhalten werden oder dem Ziel der Verkehrswende im Weg stehen. Während kostengünstige Elektroautos den Zugang zur Elektromobilität erleichtern können, liegt unser Fokus auf dem Ausbau des öffentlichen Nahverkehrs und nachhaltiger Mobilitätskonzepte. Der Übergang zu weniger Individualverkehr ist entscheidend, um eine wirklich klimafreundliche und soziale Verkehrspolitik zu gestalten.
